county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may
003,1993,12.34,7.9,43.4,55.2,57.2,45,92.6,89.2,88.73,1.38,-0.42,-0.66,0.1,-1.27,-0.83,-0.26,1.05
003,1994,11.43,9.55,48,52.3,54,47.8,87.7,85.1,86.87,-0.84,-1.12,0.17,-0.6,-1.09,0.51,-0.29,-0.83
003,1995,9.99,10.55,45.3,56.5,55.4,46,88.5,91.9,88.3,1.31,1.71,-0.26,0.92,1.62,-0.79,1.08,0.56
003,1996,9.03,5.82,42,59.5,55.8,46.2,87,88.4,86.93,0.54,0.73,-0.79,0.16,0.74,-2.36,-0.44,0.49
003,1997,14.32,10.1,40.9,51.2,57.7,46.2,89.8,85.5,85.6,2.28,2.11,1.98,2.12,0.18,0.26,0.39,2.28
003,1998,12.75,5.34,46.4,60.2,62.5,49.2,87.6,87.7,87.57,1.42,2.23,2.27,1.97,2.87,0.81,2.56,0.1
003,1999,13.64,5.58,51.2,55,54,44.3,91.4,89.7,88.57,-0.13,-0.48,-1.3,-0.64,-1.1,-2.6,-0.67,-0.77
003,2000,14.6,5.76,43.6,58.9,57.7,49.2,87.5,89.9,87.37,-1.67,-1.28,-1.21,-1.39,0.68,-0.21,0.39,-2.13
003,2001,8.47,8.5,51.9,56.4,56,45.2,88.6,88.5,87.2,-2.27,1.7,1.69,0.37,5.09,0.51,1.57,-2.2
003,2002,15.2,14.55,49.4,54.3,61.3,48.2,91,88.9,89.2,4.13,3.03,2.52,3.23,-2.01,-0.58,-1.28,5.06
003,2003,8.91,9.22,47.6,56.8,56,46,88.4,89.4,86.3,2.62,2.44,2.67,2.58,0.26,1.45,1.34,2.06
003,2004,7.99,7.5,46.4,60.7,57.1,50.1,86,83.7,84.6,-0.22,0.28,0.47,0.18,0.84,0.67,0.28,0.17
